Watched Date,Film,Released,My Rating,Rewatch
2024-04-30,13 Going on 30,2004,5.0,True
2024-05-02,Stranger by the Lake,2013,4.0,False
2024-05-03,Mind Game,2004,0.5,False
2024-05-04,Mars Express,2023,2.5,False
2024-05-05,"Crouching Tiger, Hidden Dragon",2000,4.5,False
2024-05-06,Challengers,2024,4.5,True
2024-05-23,Far from Heaven,2002,3.5,False
2024-05-23,Brokeback Mountain,2005,4.5,True
2024-05-24,Blue Giant,2023,4.0,False
2024-05-30,A Summer Dress,1996,,False
2024-06-03,Godzilla Minus One,2023,4.0,False
2024-06-04,End of the Century,2019,3.5,False
2024-06-04,My Own Private Idaho,1991,4.0,False
2024-06-05,"Fast Trip, Long Drop",1994,,False
2024-06-06,Cruising,1980,,False
2024-06-09,Beau Travail,1999,3.0,False
2024-06-10,Paris Is Burning,1990,5.0,True
2024-06-10,A Distant Place,2020,4.0,False
2024-06-10,Summer of 85,2020,3.0,False
2024-06-11,The Birdcage,1996,3.0,False
2024-06-13,"Greetings from Washington, D.C.",1981,,False
2024-06-13,Shakedown,2018,,False
2024-06-15,"Merry Christmas, Mr. Lawrence",1983,3.0,False
2024-06-17,Children Who Chase Lost Voices,2011,3.5,False
2024-06-17,Flee,2021,4.5,False
2024-06-17,The Heroic Trio,1993,,False
2024-06-18,Voices of a Distant Star,2002,2.0,False
2024-06-19,Beach Rats,2017,3.0,False
2024-06-19,Rope,1948,4.5,False
2024-06-20,Tropical Malady,2004,3.5,False
2024-06-20,Flores,2017,5.0,False
2024-06-22,House,1977,5.0,False
2024-06-24,Swoon,1992,3.0,False
2024-06-26,The Boys in the Band,1970,4.0,False
2024-06-27,The Living End,1992,4.5,False
2024-06-29,Problemista,2023,3.0,False
2024-07-01,Fox and His Friends,1975,4.0,False
2024-07-02,Weekend,2011,4.0,False
2024-07-03,Mishima: A Life in Four Chapters,1985,5.0,False
2024-07-04,Nowhere,1997,,False
2024-07-10,Women on the Verge of a Nervous Breakdown,1988,4.5,False
2024-07-10,Y Tu Mamá También,2001,4.0,False
2024-07-12,Tie Me Up! Tie Me Down!,1989,2.5,False
2024-07-15,The Apartment,1960,,False
2024-07-15,The Servant,1963,4.0,False
2024-07-16,Daisies,1966,,False
2024-07-18,Blow Out,1981,4.0,False
2024-07-19,Sunset Boulevard,1950,4.5,False
2024-07-20,The Lady Eve,1941,4.5,False
2024-07-22,National Anthem,2023,4.0,False
2024-07-22,Double Indemnity,1944,,False
2024-07-24,Charade,1963,4.5,False
2024-07-25,All About Eve,1950,5.0,False
2024-07-26,My Beautiful Laundrette,1985,3.5,False
2024-07-26,Vertigo,1958,5.0,False
2024-07-27,The Philadelphia Story,1940,3.0,False
2024-07-28,Sweet Smell of Success,1957,,False
2024-07-28,The Red Shoes,1948,,False
2024-07-30,The Perks of Being a Wallflower,2012,,True
2024-07-31,Vive L'Amour,1994,4.0,False
2024-08-01,All About Eve,1950,5.0,True
2024-08-03,Singin' in the Rain,1952,,False
2024-08-05,Totally F***ed Up,1993,4.0,False
2024-08-09,Dìdi (弟弟),2024,4.5,False
2024-08-16,The Lord of the Rings: The Fellowship of the Ring,2001,3.5,False
2024-08-16,The Lord of the Rings: The Two Towers,2002,3.0,False
2024-08-17,The Celluloid Closet,1995,,False
2024-08-17,The Lord of the Rings: The Return of the King,2003,3.5,False
2024-08-18,Cat on a Hot Tin Roof,1958,3.5,False
2024-08-18,Strange Way of Life,2023,3.0,False
2024-08-19,Victim,1961,4.0,False
